0,1_x,1_y,delta
Mauritius,1.05779200354373,1,-0.057792003543729
Bangladesh,1.0933735904634,1,-0.093373590463398
Belize,,1,
Congo (Kinshasa),,1,
Gambia,,1,
Nigeria,,1,
"Korea, South",1.15417677539595,0.981319428476081,-0.172857346919873
Slovenia,0.86854037366924,0.927184662100927,0.058644288431687
Cambodia,1.75957569267043,0.779429392527171,-0.980146300143256
Belarus,0.532920527918331,0.746360721785059,0.213440193866728
Bosnia and Herzegovina,1.14274613007949,0.676987174935015,-0.465758955144478
Sri Lanka,0.240418210936651,0.657459204516528,0.417040993579877
China,0.631644860782908,0.636339307493644,0.004694446710735
Moldova,0.459686439971146,0.626971935450145,0.167285495478999
Cruise Ship,0.593193243493099,0.584151287422635,-0.009041956070464
Jordan,0.27700368845737,0.549117332901599,0.272113644444228
Brunei,0.556583311574986,0.523980303325403,-0.032603008249583
Slovakia,1.30206076580482,0.522216219041946,-0.779844546762874
Oman,0.059554451792203,0.50054216937492,0.440987717582717
Estonia,0.373512342839922,0.47338224663355,0.099869903793628
Venezuela,0.166829110120046,0.456483002521375,0.28965389240133
Qatar,0.425701093412277,0.432258612911357,0.00655751949908
Uruguay,0.841810597676877,0.261067244306226,-0.580743353370651
Kazakhstan,0.41014148579071,0.244604820965713,-0.165536664824998
New Zealand,2.32580728670165,0.016695291936107,-2.30911199476554
Uzbekistan,0.000316227766017,0.01592042418427,0.015604196418253
Cuba,1,0.000741128954408,-0.999258871045592
Ukraine,13.1191561141208,4.04153395739913E-05,-13.1191156987812
Trinidad and Tobago,6.10351562500003E-12,2.47052942200655E-06,2.47052331849093E-06
Afghanistan,1,3.72529029846195E-09,-0.99999999627471
"Bahamas, The",1.00695185906189,,
Cape Verde,1,,
East Timor,1,,
"Gambia, The",1,,
Honduras,1.06767532067927,,
Kosovo,1.0059189125739,,
Martinique,0.127804525462951,,
